date,vacancies,area_BROCK,area_EXCH,area_FRASER,area_GREEN,area_IONA,area_KWTQ,area_MARINE,area_POND,area_STJOHN,area_TBIRD,area_AP_UA
2021-11-01,74,1,5,2,7,0,0,23,6,2,11,17
2021-11-02,91,2,5,2,7,0,0,25,7,5,12,26
2021-11-03,93,2,5,2,7,0,0,25,7,4,13,28
2021-11-04,95,2,5,2,7,0,0,26,7,5,13,28
2021-11-05,93,2,5,2,7,0,0,26,7,5,12,27
2021-11-06,92,2,5,2,7,0,0,26,6,5,12,27
2021-11-07,92,2,5,2,7,0,0,26,6,5,12,27
2021-11-08,91,2,5,1,7,0,0,26,6,5,12,27
2021-11-09,91,2,5,1,7,0,0,27,6,4,12,27
2021-11-10,90,3,4,1,7,0,0,28,5,4,12,26
2021-11-11,90,3,4,1,7,0,0,28,5,4,12,26
2021-11-12,88,4,4,1,7,0,0,27,4,4,12,25
2021-11-13,88,3,5,1,7,0,0,27,4,4,13,24
2021-11-14,89,3,5,1,7,0,0,27,5,4,13,24
2021-11-15,89,3,5,1,7,0,0,28,5,4,13,23
2021-11-16,92,4,5,1,7,0,0,29,5,4,13,24
2021-11-17,93,4,5,1,7,0,0,29,5,4,13,25
2021-11-18,93,4,5,1,7,0,0,29,5,4,13,25
2021-11-19,93,5,5,1,7,0,0,29,5,4,12,25
2021-11-20,92,5,5,1,7,0,0,29,5,4,12,24
2021-11-21,92,5,5,1,7,0,0,29,5,4,12,24
2021-11-22,90,4,5,1,7,0,0,28,5,4,12,24
2021-11-23,88,4,5,1,7,0,0,25,5,4,13,24
2021-11-24,87,4,5,0,7,0,0,25,5,4,13,24
2021-11-25,87,4,5,0,7,0,0,25,5,4,13,24
2021-11-26,86,3,5,0,7,0,0,25,5,4,13,24
2021-11-27,86,3,5,0,7,0,0,25,5,4,13,24
2021-11-28,88,3,5,1,7,0,0,26,5,4,13,24
2021-11-29,89,3,5,1,7,0,0,26,6,4,13,24
2021-11-30,93,3,5,1,7,0,0,27,7,5,14,24
2021-12-01,86,1,5,1,6,0,0,27,8,5,12,21
2021-12-02,102,1,5,1,7,0,0,28,8,8,15,29
2021-12-03,100,1,5,0,7,0,0,26,8,7,16,30
2021-12-04,99,2,5,0,7,0,0,24,8,7,16,30
2021-12-05,100,2,5,0,7,0,0,24,8,7,17,30
2021-12-06,102,2,5,0,7,0,0,25,8,7,17,31
2021-12-07,103,2,5,0,7,0,0,24,8,9,17,31
2021-12-08,98,2,5,0,7,0,0,21,8,10,17,28
2021-12-09,100,2,5,0,7,0,0,23,7,11,17,28
2021-12-10,97,2,5,0,7,0,0,23,6,11,17,26
2021-12-11,97,2,5,0,7,0,0,23,6,11,17,26
2021-12-12,98,2,5,0,7,0,0,23,6,12,17,26
2021-12-13,98,2,5,0,7,0,0,24,6,12,16,26
2021-12-14,100,2,5,0,7,0,0,25,6,12,17,26
2021-12-15,100,3,5,0,7,0,0,25,6,12,16,26
2021-12-16,103,3,5,0,7,0,0,26,5,12,19,26
2021-12-17,107,3,5,0,7,0,0,29,6,12,19,26
2021-12-18,108,3,5,0,7,0,0,30,6,12,19,26
2021-12-19,108,3,5,0,7,0,0,30,6,12,19,26
2021-12-20,108,3,5,0,7,0,0,30,6,12,19,26
2021-12-21,108,4,5,0,7,0,0,30,6,12,19,25
2021-12-22,111,4,5,0,7,0,0,30,6,12,22,25
2021-12-23,110,4,6,0,7,0,0,30,5,12,21,25
2021-12-24,203,12,30,6,7,1,0,58,32,12,21,24
2021-12-25,208,13,31,6,7,1,0,61,33,11,21,24
2021-12-26,208,13,31,6,7,1,0,62,33,11,21,23
2021-12-27,209,13,31,7,7,1,0,62,33,11,21,23
2021-12-28,210,13,31,7,7,1,0,63,34,11,20,23
2021-12-29,209,13,31,7,7,1,0,63,34,11,20,22
2021-12-30,208,14,30,7,7,1,0,64,33,11,20,21
2021-12-31,206,15,30,7,7,1,0,63,31,11,20,21
2022-01-01,194,17,33,6,6,1,0,55,24,11,21,20
2022-01-02,210,17,33,6,6,1,0,57,24,13,24,29
2022-01-03,200,11,33,6,6,1,0,55,23,13,23,29
2022-01-04,201,11,33,6,6,0,0,58,23,11,24,29
2022-01-05,197,11,33,6,6,0,0,56,22,11,23,29
2022-01-06,197,11,32,6,6,0,0,56,23,11,23,29
2022-01-07,190,10,32,6,6,0,0,54,22,11,21,28
2022-01-08,190,11,33,6,6,0,0,52,22,11,21,28
2022-01-09,130,8,11,2,6,0,0,40,7,11,17,28
2022-01-10,134,8,11,3,6,0,0,42,7,11,18,28
2022-01-11,135,7,12,3,5,0,0,43,8,11,18,28
2022-01-12,135,7,12,3,5,0,0,42,9,11,18,28
2022-01-13,137,7,13,4,5,0,0,42,9,11,18,28
2022-01-14,135,6,14,4,5,0,0,42,9,11,17,27
2022-01-15,137,6,13,4,6,1,0,43,10,11,18,25
2022-01-16,141,6,16,4,6,1,0,44,10,11,18,25
2022-01-17,140,6,17,4,5,1,0,45,10,11,16,25
2022-01-18,143,6,17,4,6,1,0,47,10,11,16,25
2022-01-19,143,6,17,4,6,1,0,47,9,12,16,25
2022-01-20,145,6,17,4,6,1,0,46,10,14,16,25
2022-01-21,145,5,17,4,6,1,0,48,10,14,15,25
2022-01-22,145,5,17,4,6,1,0,48,10,14,15,25
2022-01-23,145,5,17,4,6,1,0,48,10,14,15,25
2022-01-24,147,5,17,4,6,1,0,49,11,14,15,25
2022-01-25,151,5,17,4,6,1,0,53,11,14,15,25
2022-01-26,153,5,17,4,6,1,0,54,12,14,15,25
2022-01-27,153,5,17,4,6,1,0,56,11,14,14,25
2022-01-28,145,3,17,4,6,1,0,52,11,14,13,24
2022-01-29,142,3,17,4,6,1,0,50,11,14,13,23
2022-01-30,141,3,16,4,6,1,0,51,11,14,13,22
